"","X","date","wx","wy"
"1",473761,"2009-11-26 00:00:00",1.54121811548729,0.0807718188234825
"2",473762,"2009-11-26 00:01:00",2.05276495718994,-0.143543309125649
"3",473763,"2009-11-26 00:02:00",2.01281022228377,-0.427836020142911
"4",473764,"2009-11-26 00:03:00",2.27113722319877,-1.20758508217225
"5",473765,"2009-11-26 00:04:00",2.29186658366085,-1.16776435122106
"6",473766,"2009-11-26 00:05:00",2.96709417845983,-0.850800564785176
"7",473767,"2009-11-26 00:06:00",3.0566271747775,-0.429580934517242
"8",473768,"2009-11-26 00:07:00",3.04866441458677,-0.482861007041655
"9",473769,"2009-11-26 00:08:00",2.48457566074892,-0.665740041831696
"10",473770,"2009-11-26 00:09:00",2.57183023813056,-0.0448914637909223
"11",473771,"2009-11-26 00:10:00",3.03977300168228,0.535993995425744
"12",473772,"2009-11-26 00:11:00",3.00755534013841,0.694348861087782
"13",473773,"2009-11-26 00:12:00",2.9355941933493,0.953832373566139
"14",473774,"2009-11-26 00:13:00",2.91850041787827,1.00492028327292
"15",473775,"2009-11-26 00:14:00",2.99497921635972,0.746732186571802
"16",473776,"2009-11-26 00:15:00",3.08478608622806,0.107723103848521
"17",473777,"2009-11-26 00:16:00",2.55813109874797,-0.26887041284325
"18",473778,"2009-11-26 00:17:00",2.56869685914548,-0.134619698039137
"19",473779,"2009-11-26 00:18:00",1.54309814287834,-0.0269348782745534
"20",473780,"2009-11-26 00:19:00",1.39873489715219,-0.652240794270711
"21",473781,"2009-11-26 00:20:00",1.62155087733103,-1.26689439310809
"22",473782,"2009-11-26 00:21:00",1.92110088944439,-0.737441539132249
"23",473783,"2009-11-26 00:22:00",2.04650487899838,-0.2150963302746
"24",473784,"2009-11-26 00:23:00",3.01921533342565,0.641754030214366
"25",473785,"2009-11-26 00:24:00",2.61764156399001,1.63568398762136
"26",473786,"2009-11-26 00:25:00",2.38492270876149,0.963571320929464
"27",473787,"2009-11-26 00:26:00",1.54121811548729,0.0807718188234825
"28",473788,"2009-11-26 00:27:00",1.52831358738875,0.214790467258621
"29",473789,"2009-11-26 00:28:00",2.05652405748537,-0.0718154025656804
"30",473790,"2009-11-26 00:29:00",1.54121811548729,0.0807718188234825
"31",473791,"2009-11-26 00:30:00",0.529916906848516,0.881929835418635
"32",473792,"2009-11-26 00:31:00",-0.150408986213066,0.49196562639855
"33",473793,"2009-11-26 00:32:00",-0.752481632434506,0.701700474286672
"34",473794,"2009-11-26 00:33:00",-0.399798387854155,0.323750350981399
"35",473795,"2009-11-26 00:34:00",-0.504992607412423,0.0981606191410893
"36",473796,"2009-11-26 00:35:00",1.11022302462516e-16,0
"37",473797,"2009-11-26 00:36:00",1.11022302462516e-16,0
"38",473798,"2009-11-26 00:37:00",-0.150408986213066,0.49196562639855
"39",473799,"2009-11-26 00:38:00",1.39873489715219,0.652240794270711
"40",473800,"2009-11-26 00:39:00",1.42064570109429,0.603028322870962
"41",473801,"2009-11-26 00:40:00",1.62155087733103,1.26689439310809
"42",473802,"2009-11-26 00:41:00",1.59919355141662,1.2950014039256
"43",473803,"2009-11-26 00:42:00",2.08097131130512,1.51191415722225
"44",473804,"2009-11-26 00:43:00",2.05426782892487,1.54800184248221
"45",473805,"2009-11-26 00:44:00",1.55302446868782,1.35002357413442
"46",473806,"2009-11-26 00:45:00",1.18226182174103,0.992035458577878
"47",473807,"2009-11-26 00:46:00",1.6856327277321,1.18029274261101
"48",473808,"2009-11-26 00:47:00",1.59919355141662,1.2950014039256
"49",473809,"2009-11-26 00:48:00",1.52922677542329,1.37692197323968
"50",473810,"2009-11-26 00:49:00",1.99899193927077,1.61875175490699
"51",473811,"2009-11-26 00:50:00",1.99899193927077,1.61875175490699
"52",473812,"2009-11-26 00:51:00",1.59919355141662,1.2950014039256
"53",473813,"2009-11-26 00:52:00",1.62155087733103,1.26689439310809
"54",473814,"2009-11-26 00:53:00",1.66477704904409,1.2095313257778
"55",473815,"2009-11-26 00:54:00",1.24858278678307,0.90714849433335
"56",473816,"2009-11-26 00:55:00",0.799596775708309,0.647500701962798
"57",473817,"2009-11-26 00:56:00",1.07208932578727,1.11018099594401
"58",473818,"2009-11-26 00:57:00",0.701700474286672,0.752481632434506
"59",473819,"2009-11-26 00:58:00",0.788174547827354,0.661356972385252
